ID,name,phoneNo,email,facebook,instagram,whatsapp,linkedin,twitter,slack,wechat,customer_ID
0,Pancake Penguin,00 32 123456789,ppenguin@gmail.com,PancakePenguin001,PancakePenguin001,PancakePenguin001,PancakePenguin001,PancakePenguin001,PancakePenguin001,PancakePenguin001,1001
1,Souffle Seal,00 32 123456789, sseal@gmail.com, SouffleSeal001, SouffleSeal001, SouffleSeal001, SouffleSeal001, SouffleSeal001, SouffleSeal001, SouffleSeal001,1002
2,Cookie Cougar,00 32 123456789, ccougar@gmail.com, CookieCougar001, CookieCougar001, CookieCougar001, CookieCougar001, CookieCougar001, CookieCougar001, CookieCougar001,1003
3,Pate Panda,00 32 123456789, ppanda@gmail.com, PatePanda001, PatePanda001, PatePanda001, PatePanda001, PatePanda001, PatePanda001, PatePanda001,1004
4,Cobbler Crab,00 32 123456789, ccrab@gmail.com, CobblerCrab001, CobblerCrab001, CobblerCrab001, CobblerCrab001, CobblerCrab001, CobblerCrab001, CobblerCrab001,1005
5,Gravy Giraffe,00 32 123456789, ggiraffe@gmail.com, GravyGiraffe001, GravyGiraffe001, GravyGiraffe001, GravyGiraffe001, GravyGiraffe001, GravyGiraffe001, GravyGiraffe001,1006
6,Chowder Cheetah,00 32 123456789, ccheetah@gmail.com, ChowderCheetah001, ChowderCheetah001, ChowderCheetah001, ChowderCheetah001, ChowderCheetah001, ChowderCheetah001, ChowderCheetah001,1007
7,Pie Puma,00 32 123456789, ppuma@gmail.com, PiePuma001, PiePuma001, PiePuma001, PiePuma001, PiePuma001, PiePuma001, PiePuma001,1008
8,Muffin Marmoset,00 32 123456789, mmarmoset@gmail.com, MuffinMarmoset001, MuffinMarmoset001, MuffinMarmoset001, MuffinMarmoset001, MuffinMarmoset001, MuffinMarmoset001, MuffinMarmoset001,1009
9,Pastry Porcupine,00 32 123456789, pporcupine@gmail.com, PastryPorcupine001, PastryPorcupine001, PastryPorcupine001, PastryPorcupine001, PastryPorcupine001, PastryPorcupine001, PastryPorcupine001,1010
10,Tart Toucan,00 32 123456789, ttoucan@gmail.com, TartToucan001, TartToucan001, TartToucan001, TartToucan001, TartToucan001, TartToucan001, TartToucan001,1011
11,Pudding Possum,00 32 123456789, ppossum@gmail.com, PuddingPossum001, PuddingPossum001, PuddingPossum001, PuddingPossum001, PuddingPossum001, PuddingPossum001, PuddingPossum001,1012
12,Lasagna Lion,00 32 123456789, llion@gmail.com, LasagnaLion001, LasagnaLion001, LasagnaLion001, LasagnaLion001, LasagnaLion001, LasagnaLion001, LasagnaLion001,1013
13,Chili Capybara,00 32 123456789, ccapybara@gmail.com, ChiliCapybara001, ChiliCapybara001, ChiliCapybara001, ChiliCapybara001, ChiliCapybara001, ChiliCapybara001, ChiliCapybara001,1014
14,Sushi Stork,00 32 123456789, sstork@gmail.com, SushiStork001, SushiStork001, SushiStork001, SushiStork001, SushiStork001, SushiStork001, SushiStork001,1015
15,Noodle Nutria,00 32 123456789, nnutria@gmail.com, NoodleNutria001, NoodleNutria001, NoodleNutria001, NoodleNutria001, NoodleNutria001, NoodleNutria001, NoodleNutria001,1016
16,Cake Coyote,00 32 123456789, ccoyote@gmail.com, CakeCoyote001, CakeCoyote001, CakeCoyote001, CakeCoyote001, CakeCoyote001, CakeCoyote001, CakeCoyote001,1017
17,Fondue Flamingo,00 32 123456789, fflamingo@gmail.com, FondueFlamingo001, FondueFlamingo001, FondueFlamingo001, FondueFlamingo001, FondueFlamingo001, FondueFlamingo001, FondueFlamingo001,1018
18,Taco Tapir,00 32 123456789, ttapir@gmail.com, TacoTapir001, TacoTapir001, TacoTapir001, TacoTapir001, TacoTapir001, TacoTapir001, TacoTapir001,1019
19,Risotto Rabbit,00 32 123456789, rrabbit@gmail.com, RisottoRabbit001, RisottoRabbit001, RisottoRabbit001, RisottoRabbit001, RisottoRabbit001, RisottoRabbit001, RisottoRabbit001,1020
20,Casserole Crocodile,00 32 123456789, ccrocodile@gmail.com, CasseroleCrocodile001, CasseroleCrocodile001, CasseroleCrocodile001, CasseroleCrocodile001, CasseroleCrocodile001, CasseroleCrocodile001, CasseroleCrocodile001,1021
21,Stirfry Sloth,00 32 123456789, ssloth@gmail.com, StirfrySloth001, StirfrySloth001, StirfrySloth001, StirfrySloth001, StirfrySloth001, StirfrySloth001, StirfrySloth001,1022
22,Stew Sealion,00 32 123456789, ssealion@gmail.com, StewSealion001, StewSealion001, StewSealion001, StewSealion001, StewSealion001, StewSealion001, StewSealion001,1023
23,Macaroni Mole,00 32 123456789, mmole@gmail.com, MacaroniMole001, MacaroniMole001, MacaroniMole001, MacaroniMole001, MacaroniMole001, MacaroniMole001, MacaroniMole001,1024
24,Jambalaya Jaguar,00 32 123456789, jjaguar@gmail.com, JambalayaJaguar001, JambalayaJaguar001, JambalayaJaguar001, JambalayaJaguar001, JambalayaJaguar001, JambalayaJaguar001, JambalayaJaguar001,1025
25,Sorbet Squirrel,00 32 123456789, ssquirrel@gmail.com, SorbetSquirrel001, SorbetSquirrel001, SorbetSquirrel001, SorbetSquirrel001, SorbetSquirrel001, SorbetSquirrel001, SorbetSquirrel001,1026
26,Pizza Panther,00 32 123456789, ppanther@gmail.com, PizzaPanther001, PizzaPanther001, PizzaPanther001, PizzaPanther001, PizzaPanther001, PizzaPanther001, PizzaPanther001,1027
27,Curry Cat,00 32 123456789, ccat@gmail.com, CurryCat001, CurryCat001, CurryCat001, CurryCat001, CurryCat001, CurryCat001, CurryCat001,1028
28,Waffle Walrus,00 32 123456789, wwalrus@gmail.com, WaffleWalrus001, WaffleWalrus001, WaffleWalrus001, WaffleWalrus001, WaffleWalrus001, WaffleWalrus001, WaffleWalrus001,1029
29,Fricassee FennecFox,00 32 123456789, ffennecfox@gmail.com, FricasseeFennecFox001, FricasseeFennecFox001, FricasseeFennecFox001, FricasseeFennecFox001, FricasseeFennecFox001, FricasseeFennecFox001, FricasseeFennecFox001,1030
30,Goulash Gazelle,00 32 123456789, ggazelle@gmail.com, GoulashGazelle001, GoulashGazelle001, GoulashGazelle001, GoulashGazelle001, GoulashGazelle001, GoulashGazelle001, GoulashGazelle001,1031
31,Tart Turtle,00 32 123456789,turtle@gmail.com,TartTurtle001,TartTurtle001,TartTurtle001,TartTurtle001,TartTurtle001,TartTurtle001,TartTurtle001,1032
32,Tagine Tiger,00 32 123456789,tiger@gmail.com,TagineTiger001,TagineTiger001,TagineTiger001,TagineTiger001,TagineTiger001,TagineTiger001,TagineTiger001,1033
33,Meringue Mouse,00 32 123456789,mouse@gmail.com,MeringueMouse001,MeringueMouse001,MeringueMouse001,MeringueMouse001,MeringueMouse001,MeringueMouse001,MeringueMouse001,1034
34,Fondue Fox,00 32 123456789,fox@gmail.com,FondueFox001,FondueFox001,FondueFox001,FondueFox001,FondueFox001,FondueFox001,FondueFox001,1035
35,Chutney Crocodile,00 32 123456789,crocodile@gmail.com,ChutneyCrocodile001,ChutneyCrocodile001,ChutneyCrocodile001,ChutneyCrocodile001,ChutneyCrocodile001,ChutneyCrocodile001,ChutneyCrocodile001,1036
36,Curry Camel,00 32 123456789,camel@gmail.com,CurryCamel001,CurryCamel001,CurryCamel001,CurryCamel001,CurryCamel001,CurryCamel001,CurryCamel001,1037
37,Cake Cat,00 32 123456789,ccat@gmail.com,CakeCat001,CakeCat001,CakeCat001,CakeCat001,CakeCat001,CakeCat001,CakeCat001,1038
38,Pie Pig,00 32 123456789,ppig@gmail.com,PiePig001,PiePig001,PiePig001,PiePig001,PiePig001,PiePig001,PiePig001,1039
39,Quiche Quokka,00 32 123456789,qquokka@gmail.com,QuicheQuokka001,QuicheQuokka001,QuicheQuokka001,QuicheQuokka001,QuicheQuokka001,QuicheQuokka001,QuicheQuokka001,1040
